 
14/12/2016 20:39:59;1;avion.pbm
14/12/2016 20:40:19;1;avion.pbm
14/12/2016 20:41:35;1;avion.pbm
14/12/2016 20:42:02;1;avion.pbm
14/12/2016 20:42:07;3;avion.pbm
14/12/2016 20:43:33;2; 
14/12/2016 20:43:45;3;avion.pbm
14/12/2016 20:43:47;3;avion.pbm
14/12/2016 20:43:47;3;avion.pbm
14/12/2016 20:43:48;1;avion.pbm
14/12/2016 20:45:16;3;avion.pbm
14/12/2016 20:46:57;1;avion.pbm
14/12/2016 20:47:22;3;avion.pbm
14/12/2016 20:47:30;3;avion.pbm
14/12/2016 20:47:31;1;avion.pbm
14/12/2016 20:47:33;1;avion.pbm
14/12/2016 20:49:06;3;avion.pbm
14/12/2016 20:49:15;2; 
14/12/2016 20:49:17;2; 
14/12/2016 20:50:38;1;avion.pbm
14/12/2016 20:50:46;2; 
14/12/2016 20:57:57;3;avion.pbm
14/12/2016 20:58:34;2; 
14/12/2016 20:58:36;1;avion.pbm
14/12/2016 21:01:24;3;avion.pbm
